FullName,email,Gender,Country,Assets,Industry,Newsletter
Grenville Di Iorio,gdi0@issuu.com,Male,Finland,$7495822.10,Health Care,Yearly
Esmeralda Wintle,ewintle1@si.edu,Female,Norway,$3725582.05,n/a,Never
Brantley Schwaiger,bschwaiger2@addtoany.com,Male,Brazil,$1427980.32,Finance,Often
Tisha Titchard,ttitchard3@xing.com,Female,China,$385520.63,Technology,Once
Shurlocke Labroue,slabroue4@cbsnews.com,Male,China,$4597033.89,Technology,Daily
Corissa Hinsche,chinsche5@archive.org,Female,Thailand,$2775585.81,Capital Goods,Seldom
Nikaniki Bromwich,nbromwich6@fotki.com,Female,Canada,$1229753.26,Basic Industries,Once
Derek Huddart,dhuddart7@zimbio.com,Male,Sweden,$7711777.47,Finance,Monthly
Marcello Longstreet,mlongstreet8@japanpost.jp,Male,Brazil,$5303423.86,n/a,Monthly
Onfroi Salvidge,osalvidge9@elpais.com,Male,Brazil,$6759935.58,Finance,Weekly
Jasen Pugh,jpugha@i2i.jp,Male,Cuba,$7420302.56,Health Care,Never
Whitney Alenikov,walenikovb@guardian.co.uk,Male,Thailand,$1953027.11,Public Utilities,Monthly
Astrix Erb,aerbc@jugem.jp,Female,Philippines,$3048903.07,Finance,Monthly
Lizbeth Maile,lmailed@intel.com,Female,Sri Lanka,$8019146.79,Capital Goods,Monthly
Celina Dudny,cdudnye@mit.edu,Female,Madagascar,$3402090.85,Health Care,Yearly
Una Sandford,,Female,China,$2689359.07,Capital Goods,Once
Moss Crambie,mcrambieg@theatlantic.com,Male,China,$2620261.09,Finance,Seldom
Frances Lawranson,flawransonh@fotki.com,Female,Croatia,$8579761.11,Consumer Services,Yearly
Jaquenetta Bretton,jbrettoni@ifeng.com,Female,China,$7665954.34,n/a,Monthly
Mendy Heinish,mheinishj@unicef.org,Male,Finland,$2022380.41,Technology,Never
Neall Kropach,nkropachk@woothemes.com,Male,China,$7392196.30,Capital Goods,Weekly
Casey Croizier,ccroizierl@ehow.com,Male,Russia,$432947.45,n/a,Never
Fremont Halle,fhallem@e-recht24.de,Male,Brazil,$8679900.29,Public Utilities,Often
Carlie Wigmore,cwigmoren@sciencedaily.com,Male,Peru,$6436517.76,Consumer Services,Weekly
Deeann Bossons,dbossonso@bloglovin.com,Female,Macedonia,$3374408.87,Energy,Often
Agatha Livingston,alivingstonp@liveinternet.ru,Female,Russia,$4333945.22,Health Care,Once
Ozzie Whittlesea,owhittleseaq@lycos.com,Male,Portugal,$5777457.36,Technology,Seldom
Shena Lynds,slyndsr@cargocollective.com,Female,Serbia,$4705568.36,Consumer Services,Often
Jory Trail,jtrails@myspace.com,Male,Russia,$8089264.33,Consumer Services,Once
Moira Potier,mpotiert@mit.edu,Genderfluid,Madagascar,$3612748.49,Technology,Yearly
Curr Cockerill,ccockerillu@jiathis.com,Male,Brazil,$2432630.59,Miscellaneous,Daily
Joya Regardsoe,jregardsoev@indiegogo.com,Bigender,Bulgaria,$1633645.45,Transportation,Never
Farlee Peddie,fpeddiew@youtu.be,Male,Czech Republic,$4998036.79,Health Care,Weekly
Devon Poyser,dpoyserx@artisteer.com,Female,Kenya,$3108997.57,Capital Goods,Seldom
Kimberlyn Tertre,ktertrey@devhub.com,Female,Armenia,$385409.84,Consumer Non-Durables,Weekly
Adrian Faust,afaustz@ning.com,Genderqueer,United States,$2017578.82,Finance,Once
Boothe Shiell,bshiell10@tiny.cc,Male,Indonesia,$7088463.57,Health Care,Monthly
Papagena Menichini,,Female,Ukraine,$596404.67,Public Utilities,Daily
